n;iter;niter;time_GPU;time_CPU;loss_GPU;loss_CPU
900;0;3;5.789437;0.000000;0.010074;0.000000
900;1;3;5.756554;0.000000;0.010203;-49745788691021824.000000
900;2;3;5.779612;0.000000;0.010057;-49745788691021824.000000
1000;0;3;6.449567;0.000000;0.011057;-49745788691021824.000000
1000;1;3;12.724012;0.000000;0.011527;-49745857410498560.000000
1000;2;3;6.454990;0.000000;0.011229;-49745857410498560.000000
1100;0;3;7.100653;0.000000;0.013624;-49745857410498560.000000
1100;1;3;7.099074;0.000000;0.014259;-49745857410498560.000000
1100;2;3;7.101647;0.000000;0.013742;-49745857410498560.000000
1200;0;3;7.743515;0.000000;0.015374;-49745857410498560.000000
1200;1;3;15.217867;0.000000;0.015551;-49745857410498560.000000
1200;2;3;7.739486;0.000000;0.015841;-49745857410498560.000000
1300;0;3;16.626591;0.000000;0.015931;-49745857410498560.000000
1300;1;3;8.404275;0.000000;0.016721;-49745857410498560.000000
1300;2;3;16.543312;0.000000;0.015853;-49745857410498560.000000
1400;0;3;9.048072;0.000000;0.017314;-49745857410498560.000000
1400;1;3;9.045146;0.000000;0.017270;-49745857410498560.000000
1400;2;3;17.816488;0.000000;0.016729;-49745857410498560.000000
1500;0;3;19.082600;0.000000;0.017561;-49745857410498560.000000
1500;1;3;19.082968;0.000000;0.018446;-49745857410498560.000000
1500;2;3;9.679654;0.000000;0.018046;-49745857410498560.000000
