n;iter;niter;time_GPU;time_CPU_double;loss_GPU;loss_CPU_double
20;0;1;0.000000;0.158895;0.000000;0.000000
70;0;1;0.000000;0.997501;0.000000;0.000000
120;0;1;0.000000;2.965160;0.000000;0.000000
170;0;1;0.000000;6.228745;0.000000;0.000000
220;0;1;0.000000;10.415030;0.000000;0.000000
270;0;1;0.000000;15.462627;0.000000;0.000000
320;0;1;0.000000;21.786722;0.000000;0.000000
370;0;1;0.000000;29.268150;0.000000;0.000000
420;0;1;0.000000;36.239582;0.000000;0.000000
470;0;1;0.000000;45.938000;0.000000;0.000000
