n;iter;niter;time_GPU;time_CPU_rand;loss_GPU;loss_CPU_rand
100;0;3;0.000000;1.533311;0.000000;0.001009
100;1;3;0.000000;1.556603;0.000000;0.001000
100;2;3;0.000000;1.553324;0.000000;0.001110
110;0;3;0.000000;1.898325;0.000000;0.001297
110;1;3;0.000000;2.638866;0.000000;0.001112
110;2;3;0.000000;2.176132;0.000000;0.001267
120;0;3;0.000000;2.193366;0.000000;0.001459
120;1;3;0.000000;2.211454;0.000000;0.001230
120;2;3;0.000000;2.192587;0.000000;0.001121
130;0;3;0.000000;3.449326;0.000000;0.001531
130;1;3;0.000000;3.043518;0.000000;0.001360
130;2;3;0.000000;2.578303;0.000000;0.001600
140;0;3;0.000000;2.976768;0.000000;0.001694
140;1;3;0.000000;4.038476;0.000000;0.001994
140;2;3;0.000000;3.035046;0.000000;0.001935
150;0;3;0.000000;3.412891;0.000000;0.001878
150;1;3;0.000000;4.036317;0.000000;0.002077
150;2;3;0.000000;3.561021;0.000000;0.001746
160;0;3;0.000000;3.855538;0.000000;nan
160;1;3;0.000000;4.459714;0.000000;0.001927
160;2;3;0.000000;4.441839;0.000000;0.001818
170;0;3;0.000000;4.389096;0.000000;0.001849
170;1;3;0.000000;5.493989;0.000000;0.002053
170;2;3;0.000000;4.407199;0.000000;0.002257
180;0;3;0.000000;5.560224;0.000000;0.001791
180;1;3;0.000000;5.551336;0.000000;0.002128
180;2;3;0.000000;5.020046;0.000000;0.002394
190;0;3;0.000000;5.471414;0.000000;0.002096
190;1;3;0.000000;5.476316;0.000000;0.002167
190;2;3;0.000000;5.368315;0.000000;0.002113
200;0;3;0.000000;5.895221;0.000000;0.002372
200;1;3;0.000000;6.395425;0.000000;0.002315
200;2;3;0.000000;6.041665;0.000000;0.002713
