n;iter;niter;time_GPU_mem;time_CPU;loss_GPU_mem;loss_CPU
2000;0;2;12.919118;0.000000;0.022759;0.000000
2000;1;2;12.883621;0.000000;0.022615;-10576863232.000000
2250;0;2;14.490106;0.000000;0.029515;-10576879616.000000
2250;1;2;14.553920;0.000000;0.027120;-10576879616.000000
2500;0;2;16.229820;0.000000;0.030999;-10576879616.000000
2500;1;2;16.248680;0.000000;0.031964;-10576879616.000000
2750;0;2;17.960596;0.000000;0.033175;-10576879616.000000
2750;1;2;17.971413;0.000000;0.034006;-10576879616.000000
3000;0;2;19.586308;0.000000;0.035749;-10576879616.000000
3000;1;2;19.550232;0.000000;0.035923;-10576879616.000000
